
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
-5 -4 -3 116.358567 40135.065242
-3 0 2 117.590599 3147.336792
-3 -1 2 119.238653 296026.054241
-5 -4 -4 120.110828 142759.314082
-5 -2 -1 122.345272 145343.205938
-5 -4 -2 123.799879 239557.701031
-4 -1 1 126.131444 251667.974405
-5 -3 -1 126.999655 183309.230393
-3 1 2 127.433934 296211.583878
-5 -1 -1 129.659463 61837.984464
-4 -2 1 131.723239 68611.874499
-4 0 1 133.136570 52299.596328
-5 -5 -4 136.832310 3976.785005
-5 -5 -3 137.001079 140249.952268
-4 -4 0 139.881410 73895.545846
-5 -4 -1 146.991926 96269.058383
-5 -2 0 150.217318 149153.921765
-5 -5 -5 153.810070 64475.559825
-6 -3 -3 154.604900 50443.184567
-5 -1 0 155.702327 556522.047173
-3 2 2 157.299581 2176.915776
-4 1 1 161.411620 244448.406014
-6 -4 -4 163.545881 7487.828076
-6 -4 -3 163.957892 539657.196289
-5 -3 0 173.936097 703091.257742

Start of a new data set 
The energy is8048.3
 h k l 2theta Intensity
-1 -1 -1 22.465985 199681.662373
-1 0 0 23.793806 60044.960972
-1 -1 0 27.163739 4223176.789212
-2 -1 -1 37.953120 1688724.025062
-1 0 1 39.618474 1797663.964626
-2 -2 -1 44.551448 313533.215478
-2 -2 -2 45.859020 284502.894157
-2 -1 0 46.019442 220185.743949
-1 -1 1 46.739932 12097.385782
-2 0 0 48.699124 1042280.309790
-2 -2 0 56.025636 649769.930388
-3 -2 -2 59.320297 278728.074265
-3 -1 -1 61.123160 143430.198686
-3 -2 -1 62.177503 803415.167448
-2 0 1 62.895254 11597.014351
-2 -1 1 64.512077 1038039.026801
-3 -3 -2 67.433888 233142.692994
-3 -1 0 70.784046 728600.076012
-3 -3 -3 71.520879 86443.913672
-2 1 1 71.885134 414303.695999
-3 -3 -1 73.707208 163241.254632
-3 -2 0 75.330906 171721.740749
-3 0 0 76.406632 63104.786853
-4 -2 -2 81.137896 149331.288787
-4 -3 -2 84.993616 345023.808030
-2 0 2 85.340689 276481.734277
-4 -3 -3 85.401348 79253.970632
-4 -2 -1 87.085043 221287.323016
-4 -1 -1 89.578913 336978.463887
-3 -1 1 89.694195 43718.917258
-2 -1 2 90.215776 4928.949987
-3 0 1 91.665468 454167.000092
-4 -3 -1 94.337733 214435.625085
-4 -4 -3 95.561217 173460.921191
-3 -2 1 97.484331 353539.363919
-4 -4 -2 98.598928 58635.511419
-4 -1 0 101.896739 89200.461071
-4 -4 -4 102.374171 8069.649967
-4 -2 0 102.846688 256411.576446
-3 1 1 103.500763 1883.166012
-2 -2 2 104.996267 175184.422628
-5 -3 -3 109.062632 137286.329275
-4 0 0 111.096964 141700.494899
-5 -2 -2 111.846293 205013.529114
-5 -3 -2 112.284705 94710.799808
-4 -3 0 114.112587 135301.323105
-3 -3 1 115.838808 36846.000802
-5 -4 -3 116.358567 40135.065242
-3 0 2 117.590599 3147.336792
-3 -1 2 119.238653 296026.054241
-5 -4 -4 120.110828 142759.314082
-5 -2 -1 122.345272 145343.205938
-5 -4 -2 123.799879 239557.701031
-4 -1 1 126.131444 251667.974405
-5 -3 -1 126.999655 183309.230393
-3 1 2 127.433934 296211.583878
-5 -1 -1 129.659463 61837.984464
-4 -2 1 131.723239 68611.874499
-4 0 1 133.136570 52299.596328
-5 -5 -4 136.832310 3976.785005
-5 -5 -3 137.001079 140249.952268
-4 -4 0 139.881410 73895.545846
-5 -4 -1 146.991926 96269.058383
-5 -2 0 150.217318 149153.921765
-5 -5 -5 153.810070 64475.559825
-6 -3 -3 154.604900 50443.184567
-5 -1 0 155.702327 556522.047173
-3 2 2 157.299581 2176.915776
-4 1 1 161.411620 244448.406014
-6 -4 -4 163.545881 7487.828076
-6 -4 -3 163.957892 539657.196289
-5 -3 0 173.936097 703091.257742

Start of a new data set 
The energy is8048.3
 h k l 2theta Intensity
-1 -1 -1 22.465985 199681.662373
-1 0 0 23.793806 60044.960972
-1 -1 0 27.163739 4223176.789212
-2 -1 -1 37.953120 1688724.025062
-1 0 1 39.618474 1797663.964626
-2 -2 -1 44.551448 313533.215478
-2 -2 -2 45.859020 284502.894157
-2 -1 0 46.019442 220185.743949
-1 -1 1 46.739932 12097.385782
-2 0 0 48.699124 1042280.309790
-2 -2 0 56.025636 649769.930388
-3 -2 -2 59.320297 278728.074265
-3 -1 -1 61.123160 143430.198686
-3 -2 -1 62.177503 803415.167448
-2 0 1 62.895254 11597.014351
-2 -1 1 64.512077 1038039.026801
-3 -3 -2 67.433888 233142.692994
-3 -1 0 70.784046 728600.076012
-3 -3 -3 71.520879 86443.913672
-2 1 1 71.885134 414303.695999
-3 -3 -1 73.707208 163241.254632
-3 -2 0 75.330906 171721.740749
-3 0 0 76.406632 63104.786853
-4 -2 -2 81.137896 149331.288787
-4 -3 -2 84.993616 345023.808030
-2 0 2 85.340689 276481.734277
-4 -3 -3 85.401348 79253.970632
-4 -2 -1 87.085043 221287.323016
-4 -1 -1 89.578913 336978.463887
-3 -1 1 89.694195 43718.917258
-2 -1 2 90.215776 4928.949987
-3 0 1 91.665468 454167.000092
-4 -3 -1 94.337733 214435.625085
-4 -4 -3 95.561217 173460.921191
-3 -2 1 97.484331 353539.363919
-4 -4 -2 98.598928 58635.511419
-4 -1 0 101.896739 89200.461071
-4 -4 -4 102.374171 8069.649967
-4 -2 0 102.846688 256411.576446
-3 1 1 103.500763 1883.166012
-2 -2 2 104.996267 175184.422628
-5 -3 -3 109.062632 137286.329275
-4 0 0 111.096964 141700.494899
-5 -2 -2 111.846293 205013.529114
-5 -3 -2 112.284705 94710.799808
-4 -3 0 114.112587 135301.323105
-3 -3 1 115.838808 36846.000802
-5 -4 -3 116.358567 40135.065242
-3 0 2 117.590599 3147.336792
-3 -1 2 119.238653 296026.054241
-5 -4 -4 120.110828 142759.314082
-5 -2 -1 122.345272 145343.205938
-5 -4 -2 123.799879 239557.701031
-4 -1 1 126.131444 251667.974405
-5 -3 -1 126.999655 183309.230393
-3 1 2 127.433934 296211.583878
-5 -1 -1 129.659463 61837.984464
-4 -2 1 131.723239 68611.874499
-4 0 1 133.136570 52299.596328
-5 -5 -4 136.832310 3976.785005
-5 -5 -3 137.001079 140249.952268
-4 -4 0 139.881410 73895.545846
-5 -4 -1 146.991926 96269.058383
-5 -2 0 150.217318 149153.921765
-5 -5 -5 153.810070 64475.559825
-6 -3 -3 154.604900 50443.184567
-5 -1 0 155.702327 556522.047173
-3 2 2 157.299581 2176.915776
-4 1 1 161.411620 244448.406014
-6 -4 -4 163.545881 7487.828076
-6 -4 -3 163.957892 539657.196289
-5 -3 0 173.936097 703091.257742

